
Sense HAT Test Program ...

Raspberry UTC Start2021-10-24 10:38:35.053102
UTC Current Time, roll, Pitch, Yaw, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ
2021-10-24 10:38:35.269478 , -2.1949202, -4.8455154, -174.4417072, -0.0056763, -0.2700195, 1.0166016, -0.4573171, -0.2134146, -0.1524390, -284.7500000, -149.2500000, -73.6250000
2021-10-24 10:38:35.475189 , -3.9308145, -9.9600372, -167.8519502, -0.0046997, -0.2691650, 1.0226440, -0.4268293, -0.3963415, 0.0000000, -284.0000000, -147.5000000, -75.3750000
2021-10-24 10:38:35.689852 , -5.5591167, -15.0673521, -160.3146977, -0.0063477, -0.2727661, 1.0219727, -0.3963415, -0.1219512, 0.0304878, -286.2500000, -147.5000000, -76.0000000
2021-10-24 10:38:35.904801 , -7.2511853, -19.8510325, -151.9001289, -0.0033569, -0.2719727, 1.0208130, -0.4268293, 0.1219512, 0.1219512, -287.0000000, -147.6250000, -73.6250000
2021-10-24 10:38:36.129841 , -9.0909513, -24.1700231, -142.8172706, -0.0030518, -0.2739868, 1.0214844, -0.3353659, -0.1219512, 0.0000000, -282.8750000, -148.7500000, -76.1250000
2021-10-24 10:38:36.344690 , -11.2362509, -27.6065002, -133.2748807, -0.0031128, -0.2762451, 1.0192871, -0.3353659, 0.3048780, 0.0609756, -285.3750000, -146.8750000, -74.5000000
2021-10-24 10:38:36.568080 , -13.4309103, -29.9983819, -123.5315296, -0.0034180, -0.2727051, 1.0206909, 0.0304878, -0.1219512, 0.0000000, -286.6250000, -148.8750000, -75.3750000
2021-10-24 10:38:36.771440 , -15.7369079, -31.3420770, -113.8769367, -0.0045776, -0.2750244, 1.0186157, -0.2743902, -0.2134146, -0.0304878, -287.0000000, -146.0000000, -77.7500000
2021-10-24 10:38:36.977492 , -17.8699101, -31.5656690, -104.3790755, -0.0034180, -0.2721558, 1.0208130, -0.1829268, 0.3963415, 0.1219512, -288.0000000, -145.0000000, -74.5000000
2021-10-24 10:38:37.183943 , -19.6416715, -30.7811373, -95.3229923, -0.0040283, -0.2714844, 1.0195312, -0.5487805, -0.1829268, 0.2134146, -285.1250000, -147.7500000, -75.3750000
2021-10-24 10:38:37.389522 , -21.1606225, -29.2867014, -86.8382290, -0.0007324, -0.2793579, 1.0183105, -1.0670732, -0.8841463, 0.0304878, -287.3750000, -148.3750000, -78.6250000
2021-10-24 10:38:37.596065 , -22.1441626, -27.0906710, -78.9979624, 0.0001831, -0.2789307, 1.0216675, -1.2195122, -0.1829268, 0.3048780, -286.6250000, -151.2500000, -76.6250000
2021-10-24 10:38:37.801977 , -22.7539994, -24.5558376, -71.8110940, -0.0002441, -0.2799683, 1.0217896, -1.0060976, -0.5487805, 0.4878049, -285.2500000, -146.8750000, -76.1250000
2021-10-24 10:38:38.007655 , -22.8810263, -21.7574258, -65.4508540, -0.0003662, -0.2816162, 1.0203857, -0.3658537, -0.3048780, 0.0914634, -284.5000000, -149.7500000, -76.5000000
2021-10-24 10:38:38.214406 , -22.7338375, -18.9469161, -59.8127758, 0.0028687, -0.2850952, 1.0215454, -0.6402439, -0.3048780, 0.3048780, -284.7500000, -150.6250000, -76.3750000
2021-10-24 10:38:38.420570 , -22.2810297, -16.2166860, -54.8453769, 0.0020142, -0.2817993, 1.0215454, -0.3048780, -0.0304878, -0.0304878, -285.6250000, -150.3750000, -73.3750000
2021-10-24 10:38:38.626497 , -21.7592635, -13.7310249, -50.5451037, 0.0017090, -0.2831421, 1.0212402, -0.5487805, -0.2134146, 0.0609756, -284.0000000, -146.6250000, -75.7500000
2021-10-24 10:38:38.833086 , -21.0646968, -11.4780120, -46.9359398, 0.0026245, -0.2816162, 1.0232544, -0.2439024, -0.2439024, -0.0304878, -283.8750000, -149.8750000, -73.8750000
2021-10-24 10:38:39.038856 , -20.4022821, -9.5325225, -43.7576091, 0.0031128, -0.2830200, 1.0216675, -0.0914634, -0.2134146, -0.0304878, -284.8750000, -146.5000000, -72.5000000
2021-10-24 10:38:39.245053 , -19.7107641, -7.8454778, -41.3186683, 0.0024414, -0.2807007, 1.0212402, 0.0000000, -0.1219512, 0.0000000, -283.1250000, -149.7500000, -78.0000000
2021-10-24 10:38:39.451157 , -19.0880353, -6.3910513, -39.1944465, 0.0012817, -0.2822876, 1.0224609, -0.3963415, 0.0000000, 0.0304878, -283.8750000, -150.3750000, -71.5000000
2021-10-24 10:38:39.656817 , -18.5036525, -5.2083128, -37.5061017, 0.0022583, -0.2807007, 1.0208130, -0.0914634, -0.2134146, -0.0609756, -287.6250000, -153.2500000, -74.8750000
2021-10-24 10:38:39.863207 , -18.0090216, -4.2370709, -36.1803501, 0.0023804, -0.2816162, 1.0219116, -0.0609756, -0.0914634, 0.0304878, -281.8750000, -150.1250000, -78.3750000
2021-10-24 10:38:40.068805 , -17.6271186, -3.4237554, -35.0143533, 0.0013428, -0.2841797, 1.0199585, -0.1829268, 0.1219512, 0.0609756, -283.0000000, -149.1250000, -76.1250000
